number of subscribers
date, pypy-dev, pypy-svn
2004/12/28, 158, 26
2004/12/29, 158, 26
2004/12/30, 159, 26
2004/12/31, 160, 26
2005/01/02, 161, 26
2005/01/03, 161, 26
2005/01/05, 161, 26
2005/01/07, 163, 26
2005/01/08, 163, 26
2005/01/09, 164, 26
2005/01/10, 165, 26
2005/01/12, 165, 26
2005/01/13, 166, 27
2005/01/14, 166, 27
2005/01/15, 166, 27
2005/01/16, 166, 27
2005/01/17, 168, 27
2005/01/18, 168, 27
2005/01/19, 168, 27
2005/01/20, 169, 27
2005/01/21, 169, 27
2005/01/23, 169, 28
2005/01/24, 169, 28
2005/01/25, 169, 28
2005/01/26, 169, 28
2005/01/27, 170, 28
2005/01/28, 170, 28
2005/01/29, 170, 28
2005/01/30, 170, 28
2005/01/31, 170, 28
2005/02/01, 172, 28
2005/02/02, 172, 29
2005/02/03, 172, 30
2005/02/04, 172, 30
2005/02/06, 173, 30
2005/02/07, 174, 30
2005/02/08, 175, 30
2005/02/09, 175, 30
2005/02/10, 175, 30
2005/02/11, 176, 31
2005/02/12, 176, 31
2005/02/14, 176, 32
2005/02/15, 180, 32
2005/02/16, 181, 32
2005/02/17, 182, 32
2005/02/18, 182, 32
2005/02/19, 182, 32
2005/02/20, 182, 32
2005/02/21, 182, 32
2005/02/22, 182, 31
2005/02/23, 181, 31
2005/02/24, 181, 31
2005/02/25, 181, 31
2005/02/26, 182, 31
2005/02/27, 182, 31
2005/02/28, 183, 31
2005/03/01, 183, 31
2005/03/02, 183, 31
2005/03/03, 183, 31
2005/03/04, 183, 31
2005/03/05, 183, 31
2005/03/06, 183, 31
2005/03/07, 184, 31
2005/03/08, 185, 31
2005/03/10, 185, 31
2005/03/13, 186, 31
2005/03/14, 185, 31
2005/03/15, 185, 31
2005/03/16, 186, 31
2005/03/17, 186, 31
2005/03/18, 186, 31
2005/03/19, 186, 31
2005/03/20, 186, 32
2005/03/21, 186, 33
2005/03/22, 186, 33
2005/03/23, 186, 33
2005/03/24, 186, 33
2005/03/28, 186, 33
2005/03/29, 188, 33
2005/03/30, 188, 33
2005/03/31, 188, 34
2005/04/01, 188, 34
2005/04/02, 189, 34
2005/04/03, 189, 34
2005/04/04, 189, 34
2005/04/05, 189, 35
2005/04/06, 189, 35
2005/04/07, 189, 35
2005/04/08, 189, 35
2005/04/11, 189, 35
2005/04/13, 189, 35
2005/04/14, 189, 35
2005/04/15, 189, 35
2005/04/16, 189, 35
2005/04/17, 189, 35
2005/04/18, 190, 35
2005/04/19, 190, 35
2005/04/20, 190, 35
2005/04/21, 190, 35
2005/04/22, 190, 35
2005/04/23, 190, 35
2005/04/24, 190, 35
2005/04/25, 190, 35
2005/04/26, 190, 35
2005/04/27, 190, 35
2005/04/28, 190, 35
2005/04/29, 189, 34
2005/05/02, 190, 34
2005/05/03, 189, 34
2005/05/04, 189, 34
2005/05/05, 190, 34
2005/05/06, 190, 34
2005/05/07, 190, 34
2005/05/08, 189, 34
2005/05/09, 189, 34
2005/05/10, 189, 34
2005/05/11, 190, 34
2005/05/12, 191, 34
2005/05/13, 192, 34
2005/05/14, 192, 34
2005/05/15, 192, 34
2005/05/16, 192, 34
2005/05/17, 193, 34
2005/05/18, 193, 34
2005/05/19, 193, 34
2005/05/20, 194, 34
2005/05/21, 194, 34
2005/05/22, 194, 34
2005/05/23, 194, 34
2005/05/24, 196, 34
2005/05/25, 198, 34
2005/05/26, 198, 34
2005/05/27, 198, 34
2005/05/28, 197, 34
2005/05/29, 197, 34
2005/05/30, 198, 35
2005/05/31, 198, 35
2005/06/01, 198, 35
2005/06/02, 198, 35
